username,address,minRain,maxRain,minWind,maxWind,minTemp,maxTemp
john_doe,"15 Rue de la Paix, Paris","5.7","15.2","10","20","10","20"
john_doe,"27 Avenue des Champs-Élysées, Paris","3.4","12.1","12","25","8","18"
john_doe,"10 Rue de la Roquette, Bordeaux","8.1","18.5","15","30","5","15"
jane_smith,"27 Avenue des Champs-Élysées, Paris","3.2","9.8","8","18","5","15"
jane_smith,"45 Quai des Grands Augustins, Lyon","6.5","15.3","11","22","7","17"
jane_smith,"14 Rue de Belleville, Strasbourg","12.2","20.7","10","20","12","25"
robert_johnson,"8 Rue du Faubourg Saint-Honoré, Paris","8.5","17.3","10","20","15","25"
robert_johnson,"33 Avenue des Gobelins, Toulouse","7.2","16.8","9","19","11","23"
robert_johnson,"99 Avenue des Ternes, Nantes","10.8","22.1","14","28","13","27"
emily_williams,"45 Quai des Grands Augustins, Lyon","6.1","15.7","12","22","-5","5"
emily_williams,"15 Rue de la Paix, Paris","4.3","11.9","10","21","9","19"
emily_williams,"4 Boulevard Montmartre, Paris","7.6","18.2","13","26","6","16"
michael_brown,"72 Rue du Faubourg Saint-Antoine, Marseille","10.3","19.8","15","25","0","10"
michael_brown,"6 Avenue de Clichy, Paris","8.7","18.4","11","23","4","14"
susan_miller,"33 Avenue des Gobelins, Toulouse","15.8","24.5","18","28","5","15"
susan_miller,"72 Rue du Faubourg Saint-Antoine, Marseille","13.2","21.7","17","27","8","18"
susan_miller,"10 Rue de la Roquette, Bordeaux","11.5","20.3","14","26","7","17"
david_davis,"21 Rue de la Pompe, Nice","10.2","19.5","10","20","20","30"
david_davis,"15 Rue de la Paix, Paris","9.1","17.8","11","21","18","28"
david_davis,"14 Rue de Belleville, Strasbourg","11.8","21.2","13","25","15","25"
amy_jones,"10 Rue de la Roquette, Bordeaux","4.5","14.2","5","15","15","25"
amy_jones,"55 Rue du Faubourg Saint-Denis, Lille","6.7","17.9","7","18","12","22"
christopher_clark,"55 Rue du Faubourg Saint-Denis, Lille","3.2","9.7","8","18","12","22"
christopher_clark,"8 Rue du Faubourg Saint-Honoré, Paris","6.9","16.5","9","19","10","20"
linda_hall,"14 Rue de Belleville, Strasbourg","12.7","21.8","12","22","18","28"
linda_hall,"72 Rue du Faubourg Saint-Antoine, Marseille","10.4","19.2","11","23","15","25"
richard_white,"99 Avenue des Ternes, Nantes","18.2","27.5","15","25","22","32"
richard_white,"27 Avenue des Champs-Élysées, Paris","17.5","26.3","14","27","21","31"
barbara_adams,"2 Rue de la Sorbonne, Montpellier","20.5","29.8","20","30","28","38"
barbara_adams,"45 Quai des Grands Augustins, Lyon","18.7","27.3","19","29","25","35"
thomas_hill,"17 Rue de la Bûcherie, Paris","5.2","15.7","5","15","15","25"
thomas_hill,"99 Avenue des Ternes, Nantes","7.8","18.9","8","20","13","23"
jennifer_scott,"4 Boulevard Montmartre, Paris","3.6","10.9","8","18","12","22"
jennifer_scott,"55 Rue du Faubourg Saint-Denis, Lille","5.3","15.4","6","16","10","20"
daniel_ward,"6 Avenue de Clichy, Paris","8.4","18.3","10","20","20","30"
daniel_ward,"29 Rue Saint-Antoine, Paris","7.2","16.9","9","19","18","28"
mary_baker,"29 Rue Saint-Antoine, Paris","6.8","16.4","12","22","18","28"
mary_baker,"45 Quai des Grands Augustins, Lyon","5.1","14.8","11","21","16","26"
